date,amount,lastUpdate
2021-01-09T00:00:00.000Z,3113,2021-02-22T07:19:44.173Z
2021-01-10T00:00:00.000Z,8444,2021-02-22T07:19:44.173Z
2021-01-11T00:00:00.000Z,4890,2021-02-22T07:19:44.173Z
2021-01-12T00:00:00.000Z,4610,2021-02-22T07:19:44.173Z
2021-01-13T00:00:00.000Z,8078,2021-02-22T07:19:44.173Z
2021-01-14T00:00:00.000Z,9287,2021-02-22T07:19:44.173Z
2021-01-15T00:00:00.000Z,8076,2021-02-22T07:19:44.173Z
2021-01-16T00:00:00.000Z,4301,2021-02-22T07:19:44.173Z
2021-01-17T00:00:00.000Z,11008,2021-02-22T07:19:44.173Z
2021-01-18T00:00:00.000Z,6212,2021-02-22T07:19:44.173Z
2021-01-19T00:00:00.000Z,5529,2021-02-22T07:19:44.173Z
2021-01-20T00:00:00.000Z,8836,2021-02-22T07:19:44.173Z
2021-01-21T00:00:00.000Z,10092,2021-02-22T07:19:44.173Z
2021-01-22T00:00:00.000Z,8563,2021-02-22T07:19:44.173Z
2021-01-23T00:00:00.000Z,4212,2021-02-22T07:19:44.173Z
2021-01-24T00:00:00.000Z,10663,2021-02-22T07:19:44.173Z
2021-01-25T00:00:00.000Z,5671,2021-02-22T07:19:44.173Z
2021-01-26T00:00:00.000Z,5131,2021-02-22T07:19:44.173Z
2021-01-27T00:00:00.000Z,8760,2021-02-22T07:19:44.173Z
2021-01-28T00:00:00.000Z,9314,2021-02-22T07:19:44.173Z
2021-01-29T00:00:00.000Z,7612,2021-02-22T07:19:44.173Z
2021-01-30T00:00:00.000Z,3588,2021-02-22T07:19:44.173Z
2021-01-31T00:00:00.000Z,10194,2021-02-22T07:19:44.173Z
2021-02-01T00:00:00.000Z,5186,2021-02-22T07:19:44.173Z
2021-02-02T00:00:00.000Z,4454,2021-02-22T07:19:44.173Z
2021-02-03T00:00:00.000Z,8284,2021-02-22T07:19:44.173Z
2021-02-04T00:00:00.000Z,8225,2021-02-22T07:19:44.173Z
2021-02-05T00:00:00.000Z,7309,2021-02-22T07:19:44.173Z
2021-02-06T00:00:00.000Z,3075,2021-02-22T07:19:44.173Z
2021-02-07T00:00:00.000Z,9830,2021-02-22T07:19:44.173Z
2021-02-08T00:00:00.000Z,5070,2021-02-22T07:19:44.173Z
2021-02-09T00:00:00.000Z,4947,2021-02-22T07:19:44.173Z
2021-02-10T00:00:00.000Z,8328,2021-02-22T07:19:44.173Z
2021-02-11T00:00:00.000Z,8850,2021-02-22T07:19:44.173Z
2021-02-12T00:00:00.000Z,7301,2021-02-22T07:19:44.173Z
2021-02-13T00:00:00.000Z,3438,2021-02-22T07:19:44.173Z
2021-02-14T00:00:00.000Z,9724,2021-02-22T07:19:44.173Z
2021-02-15T00:00:00.000Z,4916,2021-02-22T07:19:44.173Z
2021-02-16T00:00:00.000Z,3790,2021-02-22T07:19:44.173Z
2021-02-17T00:00:00.000Z,6588,2021-02-22T07:19:44.173Z
2021-02-18T00:00:00.000Z,7568,2021-02-22T07:19:44.173Z
2021-02-19T00:00:00.000Z,5963,2021-02-22T07:19:44.173Z
2021-02-20T00:00:00.000Z,3442,2021-02-22T07:19:44.173Z
2021-02-21T00:00:00.000Z,7368,2021-02-22T07:19:44.173Z
2021-02-22T00:00:00.000Z,911,2021-02-22T07:19:44.173Z
